,company,title,location,salary_range,Minimum_salary,Maximum_salary,link,10-k,gaap,excel
0,Engineering Firm,Senior Accountant,"New York, NY 10019 (Clinton area)",100000 - 90000,100000,90000,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CfEU6PDliryyee2wEqTx3cnyHX25wqoJdJkPSclxrCteI9WKYUQT1gN9OUOShO3dBSNzrV6FUZKyEFlSnoY_Mj7nV1UEungQx2DkM_t5_8oei07nPI3c32rNpzPG7n1nWNmZ83ptKGCyrgHZj-llKEZHzxJ-bP7khGe_il3bkhg6dTXLji-n6wZppdLLM2hgOrX5JRyWiD1dOuBs94ZB2CQEtBqv42pd4ViiFAQ0PlnSTWKhOwdPRBVfHhs-RbyOkfZt1mCKMO8xOVTtFSEN9KUO8vDxrpnTV776F7_ByRUXv9Yw2_y_yiwIlQ07SLv--Bqjf9GTTkLPN0EsmiqUCMZTpu-G6nWvzrgE4g1duhoUzz73kiQeNcX86GXTpqZwXN5xYJGCXgkeek5qiYuu2OFqjM9fyXMggoxC05zvYoqVD4QqZ5TsnBYNfVEwUkR9dFX-ZYqkwfUbj8tPJakGcm&p=0&fvj=1&vjs=3,0,1,0
1,The Hebrew Home For The Aged At Riverdale,Sr. Accountant,"New York, NY 10463 (Marble Hill area)",80000,80000,80000,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BYhuo17bX4kR8ycMH2oUkgHKPMdpez9E8TvzXyjiteRe16p3KX0W5Hr7aJQN4RmeVNoqjee_bXEF_FB3hCa1Mf26ixsZIlbfS7MJW3KDpE-dqTe1GJT-x_VqE2DHoJ2Pw68OpesGhUmudGI7sVDCqXJi3286Tz9FeFJeidKXjoSUtSgqf5ENJdBrA5OQ0txXjo_xwQUqyYbt7dfGKjTe9VYKwBlVmcHL4YMcbO-DQ3VqrWxZw6yfsbsrAO2CD5nfuEersIrNR9zNlf8tA6qLLiS-DVggUQ66fpdIPyed9REs6L3w_0ZnHJHYDlkKkZb_vqXKhHmLOdOzUOoY0swKIrO2y2tNvK_3dKIgy6ciM4X8TKEh35u6jLbA9dSEU0d-ZIW_-9tzTX_7h-d7495SXO5hib3KFEWkvNpLbub1CiaMdG1QUiMWJeCgR1EujXrrRO_iyE9A9md65HcFZu4XFSLrVjP7_oPxs=&p=1&fvj=1&vjs=3,0,0,0
2,Montefiore Medical Center,SENIOR ACCOUNTANT,"Tarrytown, NY 10591",Not specified,Not Specified,Not Specified,https://www.indeed.com/rc/clk?jk=90a25b3f4279b930&fccid=d1e1c9b793a7214a&vjs=3,0,0,1
3,Mercy College,Senior Accountant,"Tarrytown, NY",Not specified,Not Specified,Not Specified,https://www.indeed.com/company/Mercy-College/jobs/Senior-Accountant-f1211c958c60835b?fccid=232966e4ad8b0132&vjs=3,0,0,0
4,Executive Alliance,Senior Accountant,"Melville, NY",100000 - 65000,100000,65000,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CwzYGXvs7IoeNFs0Zh-VdXiH8J6jyQ3NSSlcfr-Qk_w5kMnaKip7CjMi1Jl-06Y6Od0qKkuc2soPfSmrPBUT7dRmXI6H-hW6MAWC1wcG9BM4Rv0gRRcls2d1YqrocCbUL9hZAb_l7vlPRu_bFikEy9et8RZgro9t8wPN4d3aK2yZCCjlFkUaFxDZLMrxV6GBK3ldr0LgJ4_GtjhcNlI0N0DlyTg7otm-x6-e5cNiLf8odDXJhLf4EBnHNJQOk_SAmnSDdpisVgOU3MbWuy0aAPo9HIHxEcnrIkFndJN1fe9aLYxMQa5ThhhGVagrzT4Bx1Eun4BgYXKvLmK0qui7CUbc1nHcJdJbaxoI_K0Fy3UuvVHLZpwYk3myf_r6xyT6UPi3TxXcvoxZg3QXUo7Z-Hjj1iGcmID8wf4l2t7UTnQBSeUOtUbXZOLc8EceHGwtXkurU2w--inXLZ_YJVYaSmgPqlHLWvzGA=&p=4&fvj=1&vjs=3,0,0,0
5,Atrium Staffing,Remote Senior Accountant – NYC,"Queens, NY",75000 - 80000,75000,80000,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AJVhJRw9wUHBCF8R8adMoLXwMaKLwknIknnYTuOdK23AbW_28uxQ0Xn7a22pwm4lI3Rj8nJRYOXDEx3kutgNsxabulOuHmKQqTYL1G-CFKZpSdPNc4x_2piBQodT12UOF_OpVa1M9cmsE5xGtD_OzZUkKjYseMEYzuDDq-vZ1cb4Yu-kCfZ4JUcDbeT10kW5NmX-wNdyCy6o50dSjVvvIgo9DSG8EwEXS70KsgRDpncUpe52koYyabuOfGTw6QRf5w021MKqg250K-Js7LVQ2_pqUu6I8AS0M0Y5st6jPGn-os1TXS2Iz5ejwGMQKfzectxoBb0UktoKETfVOjF-Qt_rbyuUWtwc3eUqRhesn9X3y7QRB3lEXLc-dFGFefXF-0-wu3f2y6IV-jqrSJ-CaUlTZvZ9tirldIebqN0JuPS4buYmuaNb9ze7FpQqfX9yxqehpn0GY1ZFnqB5NkK3OAm9va8zCDhjxLkMUrQjRSM8o2B2mwt7Nr9DhF1IO0kHLiBZXYkp1gPWmm8IT-ns9uTPrLTkannnQUozd4IHq03XqxKW5t3MnPNj7M5PcdgaTff7ohgC9Ni6ZUZ3lQKt-nYyKFx3q_Kw2h7WHKWrYxF_XuGQjW3OpONjYdOLLihrWOLhAe3Rt3Qeaqu645O3lA_mV4-ryp9CWfg2BLV5FmoAqG9xKZy3HSV3mGdR8jycuh8xOFcHX2kVBUSXtK1c9xT3DJsGlQEmJZQLrATUeZjI_JvvVDb3yWvCHAacrdTgcqgMZg6QemGYViVychnmP-taOfIMSePBok4v6ard2Bxm_u5oflguhHAIOjvfLPmDNaZv-iFbNcxoGUtP-3mW8_Z3mZ22IMmdoyxHhaVlLjbT0pntOpGGkjrpy1Dqt-ejXCLvmFNyTjNI-ALdpOPthaUIzK2Zrn-jSMaY-cYywp7OSZys6q4uRNaW4yZ8yN5y6k6dO5m4--wvpAFHqJIHkWo5tTukGAKHGk9BOfHBfl-uU_LlZIiw-FRVOV2WqX03cVDUT9k6D2iQ==&p=5&fvj=0&vjs=3,0,0,1
6,Michael Page,Senior Accountant,"Manhattan, NY",80000 - 95000,80000,95000,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BR3ykMnr3Vw97HK5IC0i9Uo32NXohanwqRY-CI8z69bhgeevNMD5QwpgIbCznTjwbL5gaPi3h1zo9HSRn7UFxYOGv6d8Z2COPg9pYlI6eDQrshfC29RaSKiX7fs3r7B9DCpf0Km3ugdqSLSek7qms2sNh-oP_T_aau_HTl73Z4LR_UvJpE9gAaz0qXPjSaWCgiQB3iLP1-Bo9bsltZdbfvZEdj0tU9nIqhfw01vdD3cYlMYLpaB9BgKm_7pA-9cHRAQtGLdUGL17l0hgKiE0Dd7-yxAqjh4fDTl98Q_hewvufK8FJlmCy4wZ-FAusJQs6doXzy736VNakbP3gYmYv8_r7czR6lHagQy5Qp3WHe4AKLQDwtAhvbtFeRigc-C1hnuDSAEPxaDgo_aK6QYpQfzNYUbDfPkXiSTOfJbdNZmV6D_KcvNIvGf9Je-qNU-f6bd2cnFqSBbvTWubwCI8nHYemLHanZl6y53XVdFqUp2HhMzqOtPWmEZeYxU7tJeIdDy33QILD75s2ItXY38dZOMFe5DXhqgPMYpwb0VJSiOrkL-18YGmXe6HUsI1xhT2QfUNRfazURU9FTLboFPpniib33Q6HRu043y5YVPrHLcSUAaOjyY6XYqMcVwMS0iaW-aBgbSBuPFwbY8EuSxZoWRP52Yn7SU7n0Bc9MlbuP9JrtIXG6ZHWnjnP5_SfKSzJwMaqhbMXkM2JT1VAwslaDM15zL1FIW6FR98RVn3LqA9gik5YO0lcMc710RXDk1Xz0BavZdkkO4_eNgSxqzkGUO1C68obDcWr2Mf9SPAxhYHabOqNQbGhXgpqoz1b_fqd6yasL2Nk3MebZF3J_sliCfh780oqnTGdTTeNeBUCIeLJuEtpIFADZHFLztFqNxWpjKlqiLtVYEuiuWpET1Jrfdyi69Hvr48eXu0j6l1TYlfcGbqcWclamodC5HVz-lsSylCn3CWMBRInrBCj9ZskSRThKM3RBbNEh0DAId4iWabI_csGyS1lJ2ncFmeDEL0dLA7Q2zBvoyn_U_cCNBRg9&p=6&fvj=0&vjs=3,0,1,1
7,Strive International Inc,Senior Accountant,"New York, NY 10035 (East Harlem area)",Not specified,Not Specified,Not Specified,https://www.indeed.com/rc/clk?jk=6fb72e1f70c2e3a0&fccid=416fef6a5e20414b&vjs=3,0,1,1
8,Aston Carter,Senior Accountant,"White Plains, NY 10601",40,40,40,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0ChYVx_I3yfZ_JDY3EFoivtqvi_stwnZ_kRt8Dowt_l_d1ydueao4NEv8X4QANiVn9uqYvgxvw_a25InE0IR-CwsCVLEFub_ChOtiVFDH2AkTK7Ird_TpVoNqUEnA6Z6V8U_ECgW8Z73nYXjkXecnMoHde1ZzV2suK4UvNAJiLVlOuIUz5EO5zvvi1rKc1RMfwhF-U1PycYgGe61k1koUIsBspcnLGsxpxMcKD6PCS2YvBru6qlaqeOLGRU2P5ZZBRMUfoWisYIGTcRN9nPqzLOR3LE6EkVU5QezBUL3SR500Qy8CFfVc80EjLa8JwMSfl8vh4Fbbu_LIQHmMdz5uW9rqyqY8POx7PEwj2Dj49bp4rPEvpuvbw4ZkjauOqxknK-GbfwroUV622lLvV9fN51T1Cr4MMUYivuhfCrV0O_2gQfxeaXjnBrkc0pg5u85ilp4Q6FxMwmULhGIF3J4qFJEPFuKz3pDhmzljXldQAhB-cGjc0sKs03zMiPUSRERCJYtEXfgTZsh6fMzI80-6uiY6h72mzg3O7-2DONyybXab3NBa52dNyiciV3DCG2Sz9xwbbRMOpXZ4AXNGibP7fXuGR1-choGW1WDWXCwRKky3AvMWzDifXO83-PazYfUornBVGi6lMinSWtkU4Dprviag5OmEN_kpPxJV4kkEf_EZuyDyZKNWvmT8VJOnb4FfXb8GWrWhfHEaH75akU9cCrrGKxMqWsGD01zYYPj7EEnCT5F0bd4LTtky5zQWOZxP0JtFqwrIhIkOOsCPL-uvAS0FnVkswNP9bKIrv3VsxfqoKmeUXDXxI-IWMvb2gx2zSsutdpdk2_RaLilA6GoYOHC2GRNXFRHMcrqgS5xGUCb3B5RU72xTcBdfFPVbffOttk336HU1Csdb1rKi70EVaHa3XQcP0nt0Y4pW9ksZtMgYgV8IDzuZVPdxBs5PyZB50=&p=8&fvj=0&vjs=3,0,0,1
9,Barnard College,Senior Accountant,"New York, NY 10027 (Morningside Heights area)",Not specified,Not Specified,Not Specified,https://www.indeed.com/rc/clk?jk=c3bc923c24e5a58c&fccid=efa377be21c099f6&vjs=3,0,1,0
